id,disambiguation,video,artist-credit_name,artist-credit_wiki,artist-credit_artist_genres_id,artist-credit_artist_genres_name,artist-credit_artist_genres_wiki,artist-credit_artist_id,artist-credit_artist_name,artist-credit_artist_wiki,length,title,title_wiki,annotation,genres_id,genres_name,genres_wiki,isrcs
https://musicbrainz.org/recording/2a975ce5-51d8-45e5-b7db-fc682495674f,,False,The Meateaters,,,,,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Blow My Mind (King Kooba remix),,,,,,
https://musicbrainz.org/recording/2d6eb46a-7d32-461c-af37-39ef965464bb,,False,The Meateaters,,,,,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Were My Sunshine (radio edit),,,,,,
https://musicbrainz.org/recording/08d9d7a1-45f9-4be5-b449-04b2374bcb1c,,False,The Meateaters,,,,,https://musicbrainz.org/artist/9c4f897f-0834-4d6d-9c67-bc5e6e8aa4f7,The Meateaters,,,You Blow My Mind (Dj Food remix),,,,,,
https://musicbrainz.org/recording/907ed963-b8f3-470e-8ecb-33e2a61e392a,,False,King Kooba,https://www.wikidata.org/wiki/Q6411826,,,,https://musicbrainz.org/artist/82f8da4e-59e5-4bbf-b210-7d1a5644df48,King Kooba,https://www.wikidata.org/wiki/Q6411826,,Brown Blood (Klute remix),,,,,,
https://musicbrainz.org/recording/53d3d010-8b98-472a-890b-93aacb70ac02,,False,Udi Yorgo Bacanos,,https://musicbrainz.org/genre/8a8bdf57-d3dd-4c2a-86a9-2eab2775c728,Turkish music style,https://www.wikidata.org/wiki/Q1682783,https://musicbrainz.org/artist/1fee0e91-31ac-4f09-b531-4bd550bd133c,Udi Yorgo Bacanos,,165000,Hüzzam Şarkı,,,,,,
https://musicbrainz.org/recording/bbb5fb86-29f4-4ffd-94d6-9976ee6621d6,,False,Udi Yorgo Bacanos,,https://musicbrainz.org/genre/8a8bdf57-d3dd-4c2a-86a9-2eab2775c728,Turkish music style,https://www.wikidata.org/wiki/Q1682783,https://musicbrainz.org/artist/1fee0e91-31ac-4f09-b531-4bd550bd133c,Udi Yorgo Bacanos,,225000,Hüseyni Taksim,,,,,,
https://musicbrainz.org/recording/48125c56-33d1-4c70-b3ac-d69a5595d645,,False,Udi Yorgo Bacanos,,https://musicbrainz.org/genre/8a8bdf57-d3dd-4c2a-86a9-2eab2775c728,Turkish music style,https://www.wikidata.org/wiki/Q1682783,https://musicbrainz.org/artist/1fee0e91-31ac-4f09-b531-4bd550bd133c,Udi Yorgo Bacanos,,328000,Acemkürdi Taksim,,,,,,
https://musicbrainz.org/recording/a7605b80-efb2-4a2a-9ec6-a17e7bd38ca1,,False,Udi Yorgo Bacanos,,https://musicbrainz.org/genre/8a8bdf57-d3dd-4c2a-86a9-2eab2775c728,Turkish music style,https://www.wikidata.org/wiki/Q1682783,https://musicbrainz.org/artist/1fee0e91-31ac-4f09-b531-4bd550bd133c,Udi Yorgo Bacanos,,403000,Kürdilihicazkar Peşrev,,,,,,
https://musicbrainz.org/recording/b83f6a51-5dc5-40ce-95ce-8bf1ec7d0778,,False,Udi Yorgo Bacanos,,https://musicbrainz.org/genre/8a8bdf57-d3dd-4c2a-86a9-2eab2775c728,Turkish music style,https://www.wikidata.org/wiki/Q1682783,https://musicbrainz.org/artist/1fee0e91-31ac-4f09-b531-4bd550bd133c,Udi Yorgo Bacanos,,246000,Hüseyni Taksim,,,,,,
https://musicbrainz.org/recording/3ba6f29a-52d4-4f49-9d98-d976e3149d09,,False,Udi Yorgo Bacanos,,https://musicbrainz.org/genre/8a8bdf57-d3dd-4c2a-86a9-2eab2775c728,Turkish music style,https://www.wikidata.org/wiki/Q1682783,https://musicbrainz.org/artist/1fee0e91-31ac-4f09-b531-4bd550bd133c,Udi Yorgo Bacanos,,192000,Uşşak Taksim,,,,,,
https://musicbrainz.org/recording/dcc1e783-8ea4-4942-a076-4ad2c596b891,,False,Melanie,https://www.wikidata.org/wiki/Q157293,https://musicbrainz.org/genre/f0c26658-95b8-46b8-b167-fdc9a659465b,chamber folk,https://www.wikidata.org/wiki/Q98528178,https://musicbrainz.org/artist/c8c3beb5-d213-40e6-9ef6-d4e1cad59e12,Melanie,https://www.wikidata.org/wiki/Q157293,,Brand New Key,,,,,,
https://musicbrainz.org/recording/dcc1e783-8ea4-4942-a076-4ad2c596b891,,,,,https://musicbrainz.org/genre/c11e4253-a888-4a2a-adde-c274b748d0b3,contemporary folk music,https://www.wikidata.org/wiki/Q106298881,,,,,,,,,,,
https://musicbrainz.org/recording/dcc1e783-8ea4-4942-a076-4ad2c596b891,,,,,https://musicbrainz.org/genre/a91eed3a-fdd0-494e-ade0-95ea4117f6eb,folk music,https://www.wikidata.org/wiki/Q43343,,,,,,,,,,,
https://musicbrainz.org/recording/dcc1e783-8ea4-4942-a076-4ad2c596b891,,,,,https://musicbrainz.org/genre/abb2374f-30e5-4d3e-b417-2caf78ef1f6c,folk-pop,https://www.wikidata.org/wiki/Q11700058,,,,,,,,,,,
https://musicbrainz.org/recording/dcc1e783-8ea4-4942-a076-4ad2c596b891,,,,,https://musicbrainz.org/genre/911c7bbb-172d-4df8-9478-dbff4296e791,pop music,https://www.wikidata.org/wiki/Q37073,,,,,,,,,,,
https://musicbrainz.org/recording/dcc1e783-8ea4-4942-a076-4ad2c596b891,,,,,https://musicbrainz.org/genre/455f264b-db00-4716-991d-fbd32dc24523,singer-songwriter music,https://www.wikidata.org/wiki/Q89363113,,,,,,,,,,,
https://musicbrainz.org/recording/1e627874-c19a-4a40-bc5b-e46d9cdd4b12,,False,Hum,https://www.wikidata.org/wiki/Q2839847,https://musicbrainz.org/genre/ceeaa283-5d7b-4202-8d1d-e25d116b2a18,alternative rock,https://www.wikidata.org/wiki/Q11366,https://musicbrainz.org/artist/04c5ca8a-4afa-4031-aced-6357440dbc25,Hum,https://www.wikidata.org/wiki/Q2839847,,I Hate It Too,,,,,,
https://musicbrainz.org/recording/1e627874-c19a-4a40-bc5b-e46d9cdd4b12,,,,,https://musicbrainz.org/genre/aec382b7-b635-470c-9051-2f84e0b5ea1e,post-hardcore,https://www.wikidata.org/wiki/Q377910,,,,,,,,,,,
https://musicbrainz.org/recording/1e627874-c19a-4a40-bc5b-e46d9cdd4b12,,,,,https://musicbrainz.org/genre/a4012b2e-5c27-4f81-8781-9ae5998d882c,shoegaze,https://www.wikidata.org/wiki/Q272167,,,,,,,,,,,
https://musicbrainz.org/recording/1e627874-c19a-4a40-bc5b-e46d9cdd4b12,,,,,https://musicbrainz.org/genre/532dcf83-5641-446d-b007-51292b401650,space rock,https://www.wikidata.org/wiki/Q236913,,,,,,,,,,,
https://musicbrainz.org/recording/dd6e4774-be83-41f1-89fb-f0c6ee782563,,False,The Ventures,https://www.wikidata.org/wiki/Q770732,https://musicbrainz.org/genre/797e2e85-5ffd-495c-a757-8b4079052f0e,pop rock,https://www.wikidata.org/wiki/Q484641,https://musicbrainz.org/artist/b2cc8903-0077-4bef-8454-ac5cef53d126,The Ventures,https://www.wikidata.org/wiki/Q770732,,Hawaii Five‐O,,,,,,
https://musicbrainz.org/recording/dd6e4774-be83-41f1-89fb-f0c6ee782563,,,,,https://musicbrainz.org/genre/b76ee78d-ec97-49e9-8ea6-cfc46ecc3b23,surf rock,https://www.wikidata.org/wiki/Q106581470,,,,,,,,,,,
https://musicbrainz.org/recording/dd6e4774-be83-41f1-89fb-f0c6ee782563,,,,,https://musicbrainz.org/genre/82e38e98-8a93-4ea9-a07f-ff0aeba07444,swamp rock,https://www.wikidata.org/wiki/Q675553,,,,,,,,,,,
https://musicbrainz.org/recording/5926110f-2c25-4750-ad7f-ca422870b5a4,,False,The Beach Boys,https://www.wikidata.org/wiki/Q183048,https://musicbrainz.org/genre/150eb95a-7739-4fde-a5fe-b62ca576a928,baroque pop,https://www.wikidata.org/wiki/Q46046,https://musicbrainz.org/artist/ebfc1398-8d96-47e3-82c3-f782abcdb13d,The Beach Boys,https://www.wikidata.org/wiki/Q183048,196000,"Fun, Fun, Fun",https://www.wikidata.org/wiki/Q673477,,https://musicbrainz.org/genre/93244085-20e5-4f16-9067-1d19143b3810,classic rock,https://www.wikidata.org/wiki/Q56351111,
https://musicbrainz.org/recording/5926110f-2c25-4750-ad7f-ca422870b5a4,,,,,https://musicbrainz.org/genre/911c7bbb-172d-4df8-9478-dbff4296e791,pop music,https://www.wikidata.org/wiki/Q37073,,,,,,,,https://musicbrainz.org/genre/0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music,https://www.wikidata.org/wiki/Q11399,
https://musicbrainz.org/recording/5926110f-2c25-4750-ad7f-ca422870b5a4,,,,,https://musicbrainz.org/genre/797e2e85-5ffd-495c-a757-8b4079052f0e,pop rock,https://www.wikidata.org/wiki/Q484641,,,,,,,,https://musicbrainz.org/genre/b76ee78d-ec97-49e9-8ea6-cfc46ecc3b23,surf rock,https://www.wikidata.org/wiki/Q106581470,
https://musicbrainz.org/recording/5926110f-2c25-4750-ad7f-ca422870b5a4,,,,,https://musicbrainz.org/genre/489ebed8-1299-4761-ba0b-29d381085f82,progressive pop,https://www.wikidata.org/wiki/Q3397882,,,,,,,,,,,
https://musicbrainz.org/recording/5926110f-2c25-4750-ad7f-ca422870b5a4,,,,,https://musicbrainz.org/genre/2aeb5340-c474-4677-b9a6-35ddac9b6a58,psychedelic pop,https://www.wikidata.org/wiki/Q383982,,,,,,,,,,,
https://musicbrainz.org/recording/5926110f-2c25-4750-ad7f-ca422870b5a4,,,,,https://musicbrainz.org/genre/0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music,https://www.wikidata.org/wiki/Q11399,,,,,,,,,,,
https://musicbrainz.org/recording/5926110f-2c25-4750-ad7f-ca422870b5a4,,,,,https://musicbrainz.org/genre/68b80b55-c919-4258-ac7a-55fb6c927ed9,sunshine pop,https://www.wikidata.org/wiki/Q2461933,,,,,,,,,,,
https://musicbrainz.org/recording/5926110f-2c25-4750-ad7f-ca422870b5a4,,,,,https://musicbrainz.org/genre/b76ee78d-ec97-49e9-8ea6-cfc46ecc3b23,surf rock,https://www.wikidata.org/wiki/Q106581470,,,,,,,,,,,
https://musicbrainz.org/recording/5926110f-2c25-4750-ad7f-ca422870b5a4,,,,,https://musicbrainz.org/genre/0bb94bd0-0025-479c-b398-41fb2f12f939,surf pop,https://www.wikidata.org/wiki/Q16011695,,,,,,,,,,,
https://musicbrainz.org/recording/5656ed22-791e-4739-9834-dfa228137d93,,False,Qaballah Steppers,,https://musicbrainz.org/genre/8d901306-d4a3-436c-a1c3-75550e5b6eaf,avant-garde jazz,https://www.wikidata.org/wiki/Q790188,https://musicbrainz.org/artist/4a3818b4-0d35-445c-988e-e62770b196d4,Qaballah Steppers,,284000,Black Star,,,,,,
https://musicbrainz.org/recording/5656ed22-791e-4739-9834-dfa228137d93,,,Marc Ribot,https://www.wikidata.org/wiki/Q539506,https://musicbrainz.org/genre/68c81274-5770-4e7b-a4bf-ab0d7d425d99,experimental music,https://www.wikidata.org/wiki/Q1640319,https://musicbrainz.org/artist/e6071b18-261e-46a1-8ee6-4dbd7f5f99f3,Marc Ribot,https://www.wikidata.org/wiki/Q539506,,,,,,,,
https://musicbrainz.org/recording/5656ed22-791e-4739-9834-dfa228137d93,,,,,https://musicbrainz.org/genre/65c97e89-b42b-45c2-a70e-0eca1b8f0ff7,experimental rock,https://www.wikidata.org/wiki/Q1641839,,,,,,,,,,,
https://musicbrainz.org/recording/5656ed22-791e-4739-9834-dfa228137d93,,,,,https://musicbrainz.org/genre/6a1ba2f9-1e5b-446f-9ffa-c0b0963aa08f,free improvisation,https://www.wikidata.org/wiki/Q592060,,,,,,,,,,,
https://musicbrainz.org/recording/d7d32265-22a9-471d-bf7d-d624ef55acd4,,False,Billy Ocean,https://www.wikidata.org/wiki/Q356745,https://musicbrainz.org/genre/4bb4043a-0ee5-4b84-93fa-6ba4567a6ba0,contemporary R&B,https://www.wikidata.org/wiki/Q850412,https://musicbrainz.org/artist/0e422e91-a42a-4b4d-8413-9baff67350f2,Billy Ocean,https://www.wikidata.org/wiki/Q356745,,Caribbean Queen,https://www.wikidata.org/wiki/Q977668,,,,,
https://musicbrainz.org/recording/d7d32265-22a9-471d-bf7d-d624ef55acd4,,,,,https://musicbrainz.org/genre/b739a895-85ed-4ad3-8717-4e9ef5387dd8,dance-pop,https://www.wikidata.org/wiki/Q211756,,,,,,,,,,,
https://musicbrainz.org/recording/d7d32265-22a9-471d-bf7d-d624ef55acd4,,,,,https://musicbrainz.org/genre/a04d680b-b5c5-4f6a-87a3-f9f1ff98e3ea,disco,https://www.wikidata.org/wiki/Q58339,,,,,,,,,,,
https://musicbrainz.org/recording/d7d32265-22a9-471d-bf7d-d624ef55acd4,,,,,https://musicbrainz.org/genre/911c7bbb-172d-4df8-9478-dbff4296e791,pop music,https://www.wikidata.org/wiki/Q37073,,,,,,,,,,,
https://musicbrainz.org/recording/d7d32265-22a9-471d-bf7d-d624ef55acd4,,,,,https://musicbrainz.org/genre/64e0bd76-822f-4549-a6fe-9858561282d1,pop soul,https://www.wikidata.org/wiki/Q11700065,,,,,,,,,,,
https://musicbrainz.org/recording/d7d32265-22a9-471d-bf7d-d624ef55acd4,,,,,https://musicbrainz.org/genre/31be54b2-4d0c-42df-aa44-c496c7b4c3c3,rhythm and blues,https://www.wikidata.org/wiki/Q45981,,,,,,,,,,,
https://musicbrainz.org/recording/d7d32265-22a9-471d-bf7d-d624ef55acd4,,,,,https://musicbrainz.org/genre/1b5e7b16-336b-473e-a364-5120413a9827,soul music,https://www.wikidata.org/wiki/Q131272,,,,,,,,,,,
https://musicbrainz.org/recording/e3aaaf03-9e87-4e99-8787-5d62a8724fc1,,False,The Beach Boys,https://www.wikidata.org/wiki/Q183048,https://musicbrainz.org/genre/150eb95a-7739-4fde-a5fe-b62ca576a928,baroque pop,https://www.wikidata.org/wiki/Q46046,https://musicbrainz.org/artist/ebfc1398-8d96-47e3-82c3-f782abcdb13d,The Beach Boys,https://www.wikidata.org/wiki/Q183048,169000,Surfin' USA,,,https://musicbrainz.org/genre/93244085-20e5-4f16-9067-1d19143b3810,classic rock,https://www.wikidata.org/wiki/Q56351111,
https://musicbrainz.org/recording/e3aaaf03-9e87-4e99-8787-5d62a8724fc1,,,,,https://musicbrainz.org/genre/911c7bbb-172d-4df8-9478-dbff4296e791,pop music,https://www.wikidata.org/wiki/Q37073,,,,,,,,https://musicbrainz.org/genre/a04d680b-b5c5-4f6a-87a3-f9f1ff98e3ea,disco,https://www.wikidata.org/wiki/Q58339,
https://musicbrainz.org/recording/e3aaaf03-9e87-4e99-8787-5d62a8724fc1,,,,,https://musicbrainz.org/genre/797e2e85-5ffd-495c-a757-8b4079052f0e,pop rock,https://www.wikidata.org/wiki/Q484641,,,,,,,,https://musicbrainz.org/genre/911c7bbb-172d-4df8-9478-dbff4296e791,pop music,https://www.wikidata.org/wiki/Q37073,
