tune_id,alias,name
https://thesession.org/tunes/34,Cúnla,"Frieze Breeches, The"
https://thesession.org/tunes/34,"Friar's Breeches, The","Frieze Breeches, The"
https://thesession.org/tunes/34,"Friar's Britches, The","Frieze Breeches, The"
https://thesession.org/tunes/34,Friars Britches,"Frieze Breeches, The"
https://thesession.org/tunes/34,"Frieze Breetches, The","Frieze Breeches, The"
https://thesession.org/tunes/34,"Frieze Britches, The","Frieze Breeches, The"
https://thesession.org/tunes/34,Fry's Britches,"Frieze Breeches, The"
https://thesession.org/tunes/34,Gallagher's,"Frieze Breeches, The"
https://thesession.org/tunes/34,"La San Sean, Ba Chraite An Mhaidin I'","Frieze Breeches, The"
https://thesession.org/tunes/34,"Old Frieze Britches, The","Frieze Breeches, The"
https://thesession.org/tunes/35,"Jig O' Slurs, The","Jig Of Slurs, The"
https://thesession.org/tunes/36,An Méarchlár Órga,"Golden Keyboard, The"
https://thesession.org/tunes/36,"Golden Headboard, The","Golden Keyboard, The"
https://thesession.org/tunes/37,An Fáinne Óir,"Gold Ring, The"
https://thesession.org/tunes/37,An Fáinne Ór,"Gold Ring, The"
https://thesession.org/tunes/37,An Faire,"Gold Ring, The"
https://thesession.org/tunes/37,Fainne Oir,"Gold Ring, The"
https://thesession.org/tunes/37,"Golden Ring, The","Gold Ring, The"
https://thesession.org/tunes/38,"Bald Headed Bachelor, The","Galway, The"
https://thesession.org/tunes/38,Cornphíopa Na Gaillimhe,"Galway, The"
https://thesession.org/tunes/38,Dan Lowry's,"Galway, The"
https://thesession.org/tunes/38,McDermott's,"Galway, The"
https://thesession.org/tunes/38,McDermott's No.1,"Galway, The"
https://thesession.org/tunes/39,Daly's,"Kerry, The"
https://thesession.org/tunes/39,East Limerick,"Kerry, The"
https://thesession.org/tunes/39,"Easy Limerick, The","Kerry, The"
https://thesession.org/tunes/39,Egan's,"Kerry, The"
https://thesession.org/tunes/39,Egans,"Kerry, The"
https://thesession.org/tunes/39,John Egan's,"Kerry, The"
https://thesession.org/tunes/39,Peg Ryan's,"Kerry, The"
https://thesession.org/tunes/40,Fintan McManus's,"Guns Of The Magnificent Seven, The"
https://thesession.org/tunes/40,"Guns, The","Guns Of The Magnificent Seven, The"
https://thesession.org/tunes/40,Return Of The Magnificent Seven,"Guns Of The Magnificent Seven, The"
https://thesession.org/tunes/41,"Green Groves, The","Green Groves Of Erin, The"
https://thesession.org/tunes/41,Ned Falveys,"Green Groves Of Erin, The"
https://thesession.org/tunes/42,Asphalt Walk,"Gravel Walks, The"
https://thesession.org/tunes/42,Barty's Choice,"Gravel Walks, The"
https://thesession.org/tunes/42,Grannie's Gravel Walks,"Gravel Walks, The"
https://thesession.org/tunes/42,Gravel Path To Granny,"Gravel Walks, The"
https://thesession.org/tunes/42,"Gravel Path To Granny's, The","Gravel Walks, The"
https://thesession.org/tunes/42,Gravel Walk,"Gravel Walks, The"
https://thesession.org/tunes/42,"Gravel Walk To Grania's, The","Gravel Walks, The"
https://thesession.org/tunes/42,"Gravel Walk To Granny's, The","Gravel Walks, The"
https://thesession.org/tunes/42,"Gravel Walk, The","Gravel Walks, The"
https://thesession.org/tunes/42,"Gravel Walk, The","Gravel Walks, The"
https://thesession.org/tunes/42,"Gravel Walks To Granie, The","Gravel Walks, The"
https://thesession.org/tunes/42,Gravel Walks To Grannie,"Gravel Walks, The"
