events_id,event,dtstart,dtend,venue,address,town,area,area_wiki,country,country_wiki,latitude,longitude
https://thesession.org/events/9230,The London Lasses LL25 Album Launch Concert,2023-06-01 20:00:00,2023-06-01 20:00:00,Matt Molloy's,Bridge Street,Westport,Mayo,https://www.wikidata.org/wiki/Q2596195,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.79941177,-9.52231789
https://thesession.org/events/9218,The Gulf Coast Cruinniú,2023-06-02 00:00:00,2023-06-04 00:00:00,The University Of St. Thomas Campus,3800 Montrose Blvd,Houston,Texas,https://www.wikidata.org/wiki/Q1439,United States of America,https://www.wikidata.org/wiki/Q30,29.73820686,-95.39163208
https://thesession.org/events/9229,"Edel Fox, Neill Byrne & Macdara Ó Faoláin",2023-06-02 00:00:00,2023-06-03 00:00:00,Stiúideo Cuan,Páirc Na Meán,Spiddal,Galway,https://www.wikidata.org/wiki/Q129610,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.24742126,-9.26142693
https://thesession.org/events/9186,Ceol Aneas,2023-06-02 17:00:00,2023-06-05 18:00:00,Various Venues,,Nelson,Nelson,https://www.wikidata.org/wiki/Q206687,New Zealand,https://www.wikidata.org/wiki/Q664,-41.30643082,173.31431580
https://thesession.org/events/9231,The London Lasses LL25 Album Launch Concert,2023-06-02 20:00:00,2023-06-02 20:00:00,The Dock Arts Centre,St. George's Terrace,Carrick-on-Shannon,County Leitrim,https://www.wikidata.org/wiki/Q107397,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.94535828,-8.09559250
https://thesession.org/events/9232,The London Lasses LL25 Album Launch Concert,2023-06-03 20:00:00,2023-06-03 20:00:00,An Taibhdhearc,19 Middle Street,Galway,Galway,https://www.wikidata.org/wiki/Q129610,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.27191925,-9.05273342
https://thesession.org/events/9238,Session (instrumental and sean-nós singing),2023-06-06 19:00:00,2023-06-06 19:00:00,Seartan's Pub,Main Street,Ballingeary,Cork,https://www.wikidata.org/wiki/Q36647,Republic of Ireland,https://www.wikidata.org/wiki/Q27,51.84720612,-9.23517799
https://thesession.org/events/9235,Session with the Pipers,2023-06-06 21:30:00,2023-06-06 21:30:00,The Cobblestone Bar,77 North King Street,Dublin,Dublin,https://www.wikidata.org/wiki/Q1761,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.34980774,-6.27783632
https://thesession.org/events/9279,Laidback Irish session tunes with Rowan Leslie,2023-06-07 00:00:00,2023-06-07 00:00:00,,,,,,,,,
https://thesession.org/events/9224,"Leonard Barry, Aoife Fadian and Shane McGowan",2023-06-07 13:00:00,2023-06-07 13:00:00,Hawk's Well Theatre,Temple Street,Sligo,County Sligo,https://www.wikidata.org/wiki/Q179325,Republic of Ireland,https://www.wikidata.org/wiki/Q27,54.26845169,-8.47679996
https://thesession.org/events/9283,Irish Folk Summer,2023-06-07 19:00:00,2023-06-07 22:00:00,DelikArt Restaurant,Colmantstr. 16,Bonn,North Rhine-Westphalia,https://www.wikidata.org/wiki/Q1198,Germany,https://www.wikidata.org/wiki/Q183,50.73184967,7.09276628
https://thesession.org/events/9220,Minnesota Irish Music Weekend,2023-06-08 19:00:00,2023-06-11 16:00:00,Celtic Junction Arts Center,836 Prior Ave. N,Minneapolis,Minnesota,https://www.wikidata.org/wiki/Q1527,United States of America,https://www.wikidata.org/wiki/Q30,44.96621704,-93.18202209
https://thesession.org/events/9166,Doolin Folk Fest,2023-06-09 00:00:00,2023-06-12 00:00:00,Hotel Doolin,Rivervale,Doolin,County Clare,https://www.wikidata.org/wiki/Q181862,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.01670074,-9.37452126
https://thesession.org/events/9188,National Celtic Folk Festival,2023-06-09 00:00:00,2023-06-12 00:00:00,Various Venues,,Portarlington,Victoria,https://www.wikidata.org/wiki/Q36687,Australia,https://www.wikidata.org/wiki/Q408,-38.10737228,144.63206482
https://thesession.org/events/9242,Skerries Traditional Music Weekend,2023-06-09 00:00:00,2023-06-11 00:00:00,Various Venues,,Skerries,Dublin,https://www.wikidata.org/wiki/Q1761,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.58570862,-6.11609221
https://thesession.org/events/9243,Slow Moving Clouds,2023-06-09 20:00:00,2023-06-09 20:00:00,The Dock Arts Centre,St. George's Terrace,Carrick-on-Shannon,County Leitrim,https://www.wikidata.org/wiki/Q107397,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.94535828,-8.09559250
https://thesession.org/events/9282,ABC Transcription Tools Demo and Q&A on Zoom,2023-06-10 10:00:00,2023-06-10 10:00:00,,,,,,,,,
https://thesession.org/events/9252,"Brendan Mulvihill, Angelina Carberry and Dan Brouder",2023-06-10 11:00:00,2023-06-10 17:00:00,Faunspring Farm,1040 Page Brook Lane,Boyce,Virginia,https://www.wikidata.org/wiki/Q1370,United States of America,https://www.wikidata.org/wiki/Q30,39.11482620,-78.06808472
https://thesession.org/events/9253,"Brendan Mulvihill, Angelina Carberry, Dan Brouder and Emily Martin",2023-06-11 16:00:00,2023-06-11 19:00:00,The Auld Shebeen,3971 Chain Bridge Road,Fairfax,Virginia,https://www.wikidata.org/wiki/Q1370,United States of America,https://www.wikidata.org/wiki/Q30,38.84692383,-77.30609131
https://thesession.org/events/9200,The Máirtín O'Connor Band,2023-06-12 20:00:00,2023-06-12 20:00:00,Town Hall Theatre,Courthouse Square,Galway,Galway,https://www.wikidata.org/wiki/Q129610,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.27609634,-9.05440235
https://thesession.org/events/9280,A Fiddle Master Class with Gerry O'Connor,2023-06-13 00:00:00,2023-06-13 00:00:00,Anya Burgess Sola Violin Shop,"100 E. Vermilion St., Suite 102",LaFayette,Louisiana,https://www.wikidata.org/wiki/Q1588,United States of America,https://www.wikidata.org/wiki/Q30,30.22387695,-92.01850128
https://thesession.org/events/9225,"Stephen Doherty, David and Patrick Doocey",2023-06-14 13:00:00,2023-06-14 13:00:00,Hawk's Well Theatre,Temple Street,Sligo,County Sligo,https://www.wikidata.org/wiki/Q179325,Republic of Ireland,https://www.wikidata.org/wiki/Q27,54.26845169,-8.47679996
https://thesession.org/events/9254,"Angelina Carberry, Brendan Mulvihill and Dan Brouder",2023-06-14 19:00:00,2023-06-14 19:00:00,Potter's Craft Cider,1350 Arrowhead Valley Road,Charlottesville,Virginia,https://www.wikidata.org/wiki/Q1370,United States of America,https://www.wikidata.org/wiki/Q30,37.99861526,-78.57982635
https://thesession.org/events/9281,Tara Howley,2023-06-14 20:00:00,2023-06-14 22:30:00,Whelan's,25 Wexford St,Dublin,Dublin,https://www.wikidata.org/wiki/Q1761,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.33661652,-6.26572561
https://thesession.org/events/9219,Jim Dowling Uilleann Pipe and Trad Festival,2023-06-15 00:00:00,2023-06-18 00:00:00,Various Venues,,Glengarriff,Cork,https://www.wikidata.org/wiki/Q36647,Republic of Ireland,https://www.wikidata.org/wiki/Q27,51.68489838,-9.44631863
https://thesession.org/events/9278,Reel Thing - Music From These Parts - Declan Folan Leonard Barry And Shane McGowan,2023-06-15 20:00:00,2023-06-15 20:00:00,Roscommon Arts Centre,Circular Road,Roscommon,Roscommon,https://www.wikidata.org/wiki/Q677631,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.63076401,-8.18379498
https://thesession.org/events/9255,"Brendan Mulvihill, Angelina Carberry and Dan Brouder",2023-06-16 19:00:00,2023-06-16 19:00:00,Barns Of Rose Hill,95 Chalmers Court,Berryville,Virginia,https://www.wikidata.org/wiki/Q1370,United States of America,https://www.wikidata.org/wiki/Q30,39.14910889,-77.98072815
https://thesession.org/events/9239,Karan Casey with Niamh Dunne and Seán Óg Graham,2023-06-18 19:30:00,2023-06-18 21:45:00,Winona Grange,8340 SW Seneca St,Tualatin,Oregon,https://www.wikidata.org/wiki/Q824,United States of America,https://www.wikidata.org/wiki/Q30,45.38317871,-122.76234436
https://thesession.org/events/9302,June McCormack and Michael Rooney,2023-06-21 13:00:00,2023-06-21 13:00:00,Hawk's Well Theatre,Temple Street,Sligo,County Sligo,https://www.wikidata.org/wiki/Q179325,Republic of Ireland,https://www.wikidata.org/wiki/Q27,54.26845169,-8.47679996
https://thesession.org/events/9304,"Nuala Kennedy, Tara Breen, and Tony Byrne",2023-06-22 00:00:00,2023-06-22 00:00:00,Colfers Pub,"Main Street, Danescastle",Carrig-on-Bannow,County Wexford,https://www.wikidata.org/wiki/Q184599,Republic of Ireland,https://www.wikidata.org/wiki/Q27,52.23853302,-6.73216581
https://thesession.org/events/9286,Connacht Fleadh,2023-06-23 00:00:00,2023-07-02 00:00:00,Various Venues,,Ballinagh,Mayo,https://www.wikidata.org/wiki/Q2596195,Republic of Ireland,https://www.wikidata.org/wiki/Q27,54.11190033,-9.15732670
https://thesession.org/events/9319,Tunefest Dungarvan,2023-06-23 00:00:00,2023-06-25 00:00:00,Various Venues,,Dungarvan,Waterford,https://www.wikidata.org/wiki/Q183551,Republic of Ireland,https://www.wikidata.org/wiki/Q27,52.09367752,-7.62036276
https://thesession.org/events/9315,Martín O'Connor Trio @Fleadh Cheoil Chonnachta,2023-06-24 19:30:00,2023-06-24 19:30:00,Ballina Arts Centre,Barret Street,Ballinagh,Mayo,https://www.wikidata.org/wiki/Q2596195,Republic of Ireland,https://www.wikidata.org/wiki/Q27,54.11167526,-9.15508556
https://thesession.org/events/9291,Gatehouse in concert,2023-06-24 20:00:00,2023-06-24 20:00:00,Harbour Arts Centre,116 Harbour Street,Irvine,North Ayrshire,https://www.wikidata.org/wiki/Q206926,Scotland,https://www.wikidata.org/wiki/Q22,55.60784531,-4.68710613
