recording_id,length,video,artist-credit_artist_name,artist-credit_artist_id,artist-credit_name,annotation,disambiguation,title,genres_id,genres_name,isrcs
https://musicbrainz.org/recording/af27625d-6a75-413a-b956-96c5b3a0c7f7,,False,J. Edgar Nation,https://musicbrainz.org/artist/98eb6525-3c14-4829-be73-a0fb3b20fa1b,J. Edgar Nation,,,J. Edgar National Anthem,,,
https://musicbrainz.org/recording/d2aed9ad-aa2a-475f-979d-3269b02351f0,,False,Terence Trent D’Arby,https://musicbrainz.org/artist/91f603ca-b126-42a2-9c29-820ca687347c,Terence Trent D’Arby,,,She Knows I'm Leaving,,,
https://musicbrainz.org/recording/28635abf-1c21-4799-a679-a08e2f2cc8ea,,False,Terence Trent D’Arby,https://musicbrainz.org/artist/91f603ca-b126-42a2-9c29-820ca687347c,Terence Trent D’Arby,,,Moon River (live),,,
https://musicbrainz.org/recording/f3d94151-5391-46fa-87b5-77d6121f205c,232840,False,Paulinho Moska,https://musicbrainz.org/artist/9158dfd7-7d67-4461-ba0a-346dec4355a5,Paulinho Moska,,,Retalhos de Cetim 3'53,,,
https://musicbrainz.org/recording/b52d7172-f28a-4cc3-8ea3-48c3009675b3,,False,Dane Cook,https://musicbrainz.org/artist/c5539100-4631-42d2-9766-3157ed0a4035,Dane Cook,,,Christ Chex,https://musicbrainz.org/genre/119ecf69-7d87-4f63-bc83-2959a0111a55,comedy,
https://musicbrainz.org/recording/a682109a-bc6e-4926-ae89-b80b9c9cac2c,,False,Terence Trent D’Arby,https://musicbrainz.org/artist/91f603ca-b126-42a2-9c29-820ca687347c,Terence Trent D’Arby,,,Metamorpheus,,,
https://musicbrainz.org/recording/71ad7a37-7a43-41d3-a683-fcd3ccc392cf,252000,False,Paulinho Moska,https://musicbrainz.org/artist/9158dfd7-7d67-4461-ba0a-346dec4355a5,Paulinho Moska,,,Tudo é Possivel 4'12,,,
https://musicbrainz.org/recording/fd6a49bd-3a91-4352-bed2-3bb7c87f6e02,,False,The Hellacopters,https://musicbrainz.org/artist/6be97d02-b66e-46d5-931c-0a81087fecbc,The Hellacopters,,,City Slang (Sonic's Rendezvous Band Cover),,,
https://musicbrainz.org/recording/0736f1d4-1a96-4116-9d44-8060d06b1dd5,,False,Terence Trent D’Arby,https://musicbrainz.org/artist/91f603ca-b126-42a2-9c29-820ca687347c,Terence Trent D’Arby,,,"""Daddy, Can I Have a War?""",,,
https://musicbrainz.org/recording/379e0878-1333-48ae-9d7c-ffb074c4c30e,,False,Terence Trent D’Arby,https://musicbrainz.org/artist/91f603ca-b126-42a2-9c29-820ca687347c,Terence Trent D’Arby,,,Sacred,,,
https://musicbrainz.org/recording/1a465add-6134-4621-81db-fb66e8e25533,227666,False,Paulinho Moska,https://musicbrainz.org/artist/9158dfd7-7d67-4461-ba0a-346dec4355a5,Paulinho Moska,,,Onde Anda A Onda 3'47,,,
https://musicbrainz.org/recording/35a62065-ca00-4334-a531-96a65b57ce7c,312000,False,Homesick for Space,https://musicbrainz.org/artist/67ef3b1a-693e-49f4-8065-63e8a8ab642e,Homesick for Space,,,You Can Only Hide for So Long,,,
https://musicbrainz.org/recording/5a919216-b5fc-4838-ae76-1a06c80c3240,237760,False,Paulinho Moska,https://musicbrainz.org/artist/9158dfd7-7d67-4461-ba0a-346dec4355a5,Paulinho Moska,,,Debaixo do Sol (Morrendo de Frio) 3'57,,,
https://musicbrainz.org/recording/fc025bb2-0b76-40aa-af5d-7118c327d7d0,,False,J. Edgar Nation,https://musicbrainz.org/artist/98eb6525-3c14-4829-be73-a0fb3b20fa1b,J. Edgar Nation,,,Absolutely Beautiful,,,
https://musicbrainz.org/recording/7ecc2d01-211c-49b5-be20-e241e7a282f6,,False,Counting Crows,https://musicbrainz.org/artist/a0327dc2-dc76-44d5-aec6-47cd2dff1469,Counting Crows,,,Round Here/Sweet Thing,,,
https://musicbrainz.org/recording/1c248dde-f18a-4eb1-a854-f614815187e0,,False,Terence Trent D’Arby,https://musicbrainz.org/artist/91f603ca-b126-42a2-9c29-820ca687347c,Terence Trent D’Arby,,,The Birds,,,
https://musicbrainz.org/recording/7f3637dc-05f1-4195-9e86-5c78b55839bb,,False,Terence Trent D’Arby,https://musicbrainz.org/artist/91f603ca-b126-42a2-9c29-820ca687347c,Terence Trent D’Arby,,,New World Forming,,,
https://musicbrainz.org/recording/3cb6e7d3-24ef-48f5-861c-1c1580ad0067,,False,The Get Go,https://musicbrainz.org/artist/1db24d4c-22b1-4df2-bcff-b9b831c1a9a7,The Get Go,,,Third Time,,,
https://musicbrainz.org/recording/beebbfeb-72ba-4a2c-96ef-35317fd7ef9e,,False,Terence Trent D’Arby,https://musicbrainz.org/artist/91f603ca-b126-42a2-9c29-820ca687347c,Terence Trent D’Arby,,,Windows,,,
https://musicbrainz.org/recording/6f87acda-3342-43cd-b88d-3c213e7f4605,214733,False,Paulinho Moska,https://musicbrainz.org/artist/9158dfd7-7d67-4461-ba0a-346dec4355a5,Paulinho Moska,,,País Tropical 3'34,,,
https://musicbrainz.org/recording/2420b58c-9024-4e15-a8b8-f1438cadbe8d,,False,Channel 59,https://musicbrainz.org/artist/4957d2bf-38da-4b4d-9763-660913716b64,Channel 59,,,Mr. X,,,
https://musicbrainz.org/recording/b9d50844-5e08-436a-b4dd-6e20995c4c26,,False,Terence Trent D’Arby,https://musicbrainz.org/artist/91f603ca-b126-42a2-9c29-820ca687347c,Terence Trent D’Arby,,,Glad She’s Gone,,,
https://musicbrainz.org/recording/c965cfa5-483a-4235-93e6-d4aa0af00d28,218000,False,Paulinho Moska,https://musicbrainz.org/artist/9158dfd7-7d67-4461-ba0a-346dec4355a5,Paulinho Moska,,,Imã 3'38,,,
https://musicbrainz.org/recording/3aa2b6d1-16f0-49ea-aab1-ebf65bb3bf82,,False,Sam Brown,https://musicbrainz.org/artist/8ec33fe2-4775-474c-a4a8-65dbbb98f87c,Sam Brown,,,Nellie The Elephant,,,
https://musicbrainz.org/recording/da60262c-97ed-488f-9506-371687a8287a,,False,Armand van Helden,https://musicbrainz.org/artist/b09b5127-c62e-4bb2-b790-1e4aa18749ed,Armand van Helden,,,God Created the Club,,,
